epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,12,,,,201187248.0
0,12,,207776688.0,,
1,25,,,,201186512.0
1,25,,207775968.0,,
2,38,,,,201185776.0
2,38,,207775248.0,,
3,49,,,195007664.0,
3,51,,,,201184912.0
3,51,,207774448.0,,
4,64,,,,201183968.0
4,64,,207773568.0,,
5,77,,,,201182816.0
5,77,,207772544.0,,
6,90,,,,201181424.0
6,90,,207771296.0,,
7,99,,,203862176.0,
7,103,,,,201179776.0
7,103,,207769808.0,,
8,116,,,,201177808.0
8,116,,207768048.0,,
9,129,,,,201175472.0
9,129,,207765936.0,,
10,142,,,,201172688.0
10,142,,207763408.0,,
11,149,,,209353792.0,
11,155,,,,201169392.0
11,155,,207760432.0,,
12,168,,,,201165408.0
12,168,,207756880.0,,
13,181,,,,201160784.0
13,181,,207752640.0,,
14,194,,,,201155360.0
14,194,,207747712.0,,
15,199,,,211027520.0,
15,207,,,,201149008.0
15,207,,207741952.0,,
16,220,,,,201141712.0
16,220,,207735200.0,,
17,233,,,,201133360.0
17,233,,207727472.0,,
18,246,,,,201123792.0
18,246,,207718624.0,,
19,249,,,222186000.0,
19,259,,,,201112944.0
19,259,,207708624.0,,
20,272,,,,201100656.0
20,272,,207697216.0,,
21,285,,,,201086912.0
21,285,,207684384.0,,
22,298,,,,201071600.0
22,298,,207670000.0,,
23,299,,,204481136.0,
23,311,,,,201054624.0
23,311,,207654048.0,,
24,324,,,,201035856.0
24,324,,207636400.0,,
25,337,,,,201015248.0
25,337,,207617008.0,,
26,349,,,180174048.0,
26,350,,,,200992816.0
26,350,,207595728.0,,
27,363,,,,200968464.0
27,363,,207572384.0,,
28,376,,,,200941872.0
28,376,,207547184.0,,
29,389,,,,200913344.0
29,389,,207519840.0,,
30,399,,,218944640.0,
30,402,,,,200882592.0
30,402,,207490416.0,,
31,415,,,,200849632.0
31,415,,207458752.0,,
32,428,,,,200814304.0
32,428,,207424976.0,,
33,441,,,,200776784.0
33,441,,207388832.0,,
34,449,,,205888032.0,
34,454,,,,200737056.0
34,454,,207350192.0,,
35,467,,,,200694736.0
35,467,,207309504.0,,
36,480,,,,200650080.0
36,480,,207266176.0,,
37,493,,,,200602816.0
37,493,,207220752.0,,
38,499,,,219073216.0,
38,506,,,,200553280.0
38,506,,207172480.0,,
39,519,,,,200501328.0
39,519,,207121856.0,,
40,532,,,,200446448.0
40,532,,207068816.0,,
41,545,,,,200389104.0
41,545,,207012912.0,,
42,549,,,190691712.0,
42,558,,,,200329200.0
42,558,,206954336.0,,
43,571,,,,200266304.0
43,571,,206893344.0,,
44,584,,,,200200720.0
44,584,,206829616.0,,
45,597,,,,200132528.0
45,597,,206762912.0,,
46,599,,,203237376.0,
46,610,,,,200061456.0
46,610,,206693664.0,,
47,623,,,,199987584.0
47,623,,206621792.0,,
48,636,,,,199911072.0
48,636,,206546528.0,,
49,649,,,205082432.0,
49,649,,,,199831472.0
49,649,,206468880.0,,
50,650,192488656.0,,,
